School,SchoolTerm,CourseCode,ForceSync,Server
0 QA School ESW,2122FY,EDCB.EL003.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.EL003.B,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SS003.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SS003.B,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SS003.C,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SS003.D,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SC021.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SC021.B,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SC021.C,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SC021.D,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SC023.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SC023.B,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.EL016.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.EL016.B,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SC013.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SC004.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SC004.B,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SC004.C,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SC004.D,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SC018.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.MA007.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.MA007.B,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.MA007.C,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.MA007.D,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.EL013.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.EL010.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SC007.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SC007.B,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SC007.C,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SC007.D,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.EL011.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.EL019.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.EL019.B,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SS007.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SS010.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SC005.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SC005.B,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SC005.C,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SC005.D,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SS011.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SS011.B,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SS011.C,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SS011.D,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SS013.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SS013.B,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.EL009.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.LA102.C,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.LA102.D,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.LA103.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.LA103.B,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.LA103.C,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.LA103.D,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.LA104.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.LA104.B,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.LA104.C,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.LA104.D,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SC001.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SC001.B,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SC017.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.EL004.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.EL004.B,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SC016.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SC025.A,TRUE,esw-pulse
