Section Code,Organization Name,School Term,Genius School Term
ISS.CB.LA101.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.LA101.B.1,2 QA FocalPoint School,2526FY,13
ISS.CB.LA101.C.1,2 QA FocalPoint School,2526FY,13
ISS.CB.LA101.D.1,2 QA FocalPoint School,2526FY,13
ISS.CB.LA102.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.LA102.B.1,2 QA FocalPoint School,2526FY,13
ISS.CB.LA102.C.1,2 QA FocalPoint School,2526FY,13
ISS.CB.LA102.D.1,2 QA FocalPoint School,2526FY,13
ISS.CB.LA103.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.LA103.B.1,2 QA FocalPoint School,2526FY,13
ISS.CB.LA103.C.1,2 QA FocalPoint School,2526FY,13
ISS.CB.LA103.D.1,2 QA FocalPoint School,2526FY,13
ISS.CB.LA104.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.LA104.B.1,2 QA FocalPoint School,2526FY,13
ISS.CB.LA104.C.1,2 QA FocalPoint School,2526FY,13
ISS.CB.LA104.D.1,2 QA FocalPoint School,2526FY,13
ISS.CB.MA102.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.MA102.B.1,2 QA FocalPoint School,2526FY,13
ISS.CB.MA102.C.1,2 QA FocalPoint School,2526FY,13
ISS.CB.MA102.D.1,2 QA FocalPoint School,2526FY,13
ISS.CB.MA103.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.MA103.B.1,2 QA FocalPoint School,2526FY,13
ISS.CB.MA103.C.1,2 QA FocalPoint School,2526FY,13
ISS.CB.MA103.D.1,2 QA FocalPoint School,2526FY,13
ISS.CB.MA007.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.MA007.B.1,2 QA FocalPoint School,2526FY,13
ISS.CB.MA007.C.1,2 QA FocalPoint School,2526FY,13
ISS.CB.MA007.D.1,2 QA FocalPoint School,2526FY,13
ISS.CB.MA008.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.MA008.B.1,2 QA FocalPoint School,2526FY,13
ISS.CB.MA008.C.1,2 QA FocalPoint School,2526FY,13
ISS.CB.MA008.D.1,2 QA FocalPoint School,2526FY,13
ISS.CB.MA104.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.MA104.B.1,2 QA FocalPoint School,2526FY,13
ISS.CB.MA104.C.1,2 QA FocalPoint School,2526FY,13
ISS.CB.MA104.D.1,2 QA FocalPoint School,2526FY,13
ISS.CB.MA114.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.MA114.B.1,2 QA FocalPoint School,2526FY,13
ISS.CB.MA114.C.1,2 QA FocalPoint School,2526FY,13
ISS.CB.MA114.D.1,2 QA FocalPoint School,2526FY,13
ISS.CB.MA115.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.MA115.B.1,2 QA FocalPoint School,2526FY,13
ISS.CB.MA115.C.1,2 QA FocalPoint School,2526FY,13
ISS.CB.MA115.D.1,2 QA FocalPoint School,2526FY,13
ISS.CB.MA116.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.MA116.B.1,2 QA FocalPoint School,2526FY,13
ISS.CB.MA116.C.1,2 QA FocalPoint School,2526FY,13
ISS.CB.MA116.D.1,2 QA FocalPoint School,2526FY,13
ISS.CB.MA117.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.MA117.B.1,2 QA FocalPoint School,2526FY,13
ISS.CB.MA117.C.1,2 QA FocalPoint School,2526FY,13
ISS.CB.MA117.D.1,2 QA FocalPoint School,2526FY,13
ISS.CB.MA001.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.MA001.B.1,2 QA FocalPoint School,2526FY,13
ISS.CB.MA001.C.1,2 QA FocalPoint School,2526FY,13
ISS.CB.MA001.D.1,2 QA FocalPoint School,2526FY,13
ISS.CB.MA006.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.MA006.B.1,2 QA FocalPoint School,2526FY,13
ISS.CB.MA006.C.1,2 QA FocalPoint School,2526FY,13
ISS.CB.MA006.D.1,2 QA FocalPoint School,2526FY,13
ISS.CB.MA010.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.MA011.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.MA005.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.MA005.B.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SC021.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SC021.B.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SC021.C.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SC021.D.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SC023.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SC023.B.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SC013.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SC004.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SC004.B.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SC004.C.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SC004.D.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SC018.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SC007.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SC007.B.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SC007.C.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SC007.D.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SC005.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SC005.B.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SC005.C.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SC005.D.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SC001.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SC001.B.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SC017.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SC016.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SC025.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SC025.B.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SC025.C.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SC025.D.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SC014.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SC012.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SC002.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SC002.B.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SC011.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SC003.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SC003.B.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SC003.C.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SC003.D.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SC006.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SC006.B.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SC006.C.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SC006.D.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SC019.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SC009.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SC024.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SC024.B.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SC015.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SC008.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SS003.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SS003.B.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SS003.C.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SS003.D.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SS007.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SS010.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SS011.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SS011.B.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SS011.C.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SS011.D.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SS015.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SS015.B.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SS015.C.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SS015.D.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SS006.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SS006.B.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SS005.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SS005.B.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SS014.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SS014.B.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SS009.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SS009.B.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SS008.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SS008.B.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SS004.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SS004.B.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SS004.C.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SS004.D.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SS001.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SS001.B.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SS001.C.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SS001.D.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SS002.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SS002.B.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SS002.C.1,2 QA FocalPoint School,2526FY,13
ISS.CB.SS002.D.1,2 QA FocalPoint School,2526FY,13
ISS.CB.EL003.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.EL003.B.1,2 QA FocalPoint School,2526FY,13
ISS.CB.EL016.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.EL016.B.1,2 QA FocalPoint School,2526FY,13
ISS.CB.EL013.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.EL010.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.EL011.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.EL019.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.EL019.B.1,2 QA FocalPoint School,2526FY,13
ISS.CB.EL009.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.EL004.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.EL004.B.1,2 QA FocalPoint School,2526FY,13
ISS.CB.EL105.A.1,2 QA FocalPoint School,2526FY,13
